Título,Capa
Mau começo,./24.jpg
A Sala dos Répteis,./25.jpg
O Lago das Sanguessugas,./26.jpg
Serraria Baixo-astral,./27.jpg
Inferno no cólegio interno,./28.jpg
O Elevador Erstraz,./29.jpg
A Cidade Sinistra dos Corvos,./30.jpg
O Hospital Hostil,./31.jpg
O Espetáculo Carnívoro,./32.jpg
O Escorregador de Gelo,./33.jpg
A Gruta Gorgônea,./34.jpg
O Penúltimo Perigo,./35.jpg
O Fim,./36.jpg
Os Goonies,./37.jpg
As Crônicas de Nárnia,./38.jpg
Coraline,./39.jpg
O ladrão de raios,./40.jpg
O mar de monstros,./41.jpg
A maldição do titã,./42.jpg
A batalha do labirinto,./43.jpg
O último olimpiano,./44.jpg
O cálice dos deuses,./45.jpg
A fúria da deusa tríplice,./46.jpg
A volta ao mundo em 80 dias,./47.jpg
Alice no País das Maravilhas,./48.jpg
Alice Através do Espelho,./49.jpg
A Ilha do Tesouro,./1.jpg
Caraval,./2.jpg
Lendário,./3.jpg
Finale,./4.jpg
O Hobbit,./7.jpg
Harry Potter e a Pedra Filosofal,./17.jpg
Harry Potter e a Câmara Secreta,./18.jpg
Harry Potter e o Prisioneiro de Azkaban,./19.jpg
Harry Potter e o Cálice de Fogo,./20.jpg
Harry Potter e a Ordem da Fênix,./21.jpg
Harry Potter e o Enigma do Príncipe,./22.jpg
Harry Potter e as Relíquias da Morte,./23.jpg
Admirável novo mundo,./51.jpg
As quatro rainhas mortas,./64.jpg
O Orfanato da Srta.Peregrine para crianças peculiares,./65.jpg
Cidade dos Etéreos,./66.jpg
Biblioteca de Almas,./67.jpg
Mapa dos dias,./68.jpg
A convenção das aves,./69.jpg
As desolações do recanto do demônio,./70.jpg
O caçador de pipas,./74.jpg
Por lugares incríveis,./76.jpg
A Lâmina Assassina,./80.jpg
Trono de vidro,./79.jpg
Coroa da Meia-Noite,./81.jpg
Herdeira do Fogo,./82.jpg
Rainha das Sombras,./83.jpg
Império de Tempestades,./84.jpg
Torre do Alvorecer,./85.jpg
Reino de Cinzas,./86.jpg
O nome do vento,./87.jpg
O Temor do sábio,./88.jpg
A música do silêncio,./89.jpg
O estreito caminho entre desejos,./90.jpg
Os garotos corvos,./98.jpg
Ladrões de sonhos,./99.jpg
"Lírio azul, azul lírio",./100.jpg
O rei Corvo,./101.jpg
Opala,./102.jpg
As brumas de Avalon,./104.jpg
A casa da floresta,./105.jpg
A senhora de Avalon,./106.jpg
A sacerdotisa de Avalon,./107.jpg
Ancestrais de Avalon,./108.jpg
Estilhaça-me,./109.jpg
Unifica-me,./110.jpg
Liberta-me,./111.jpg
Incendeia-me,./112.jpg
Restaura-me,./113.jpg
Desafia-me,./114.jpg
Decifra-me,./115.jpg
Imagina-me,./116.jpg
Aceita-me,./117.jpg
Moby Dick,./123.jpg
O guia do mochileiro das galáxias,./130.jpg
A Guerra dos Mundos,./132.jpg
A Biblioteca da meia noite,./133.jpg
